IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",103,85,85,"85",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.18364002
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",103,85,85,"85",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.16048052
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",175,86,86,"86",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.20166223
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",175,86,86,"86",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.17479932
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",176,87,87,"87",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.22209675
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",176,87,87,"87",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.18983102
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",177,88,88,"88",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.24521087
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",177,88,88,"88",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.20577233
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",178,89,89,"89",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.27080904
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",178,89,89,"89",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.22298414
